ID--	Time---------------
392E	2022/10/04-07:10:48

Cbe-Prog-Type	Own Creation ID -----------------	Last Creation ID ----------------	Origin Creation ID --------------	--X1	--Y1	--X2	--Y2	Component ---	
000-000E-003B	392E-1690FFCE-2022/10/04-07:10:48	0000-00000000-0000/00/00-00:00:00	392E-1690FFCE-2022/10/04-07:10:48	   6	  20	   -	   -	Input Switch	
000-001B-003B	392E-022A2686-2022/10/04-07:10:48	0000-00000000-0000/00/00-00:00:00	392E-022A2686-2022/10/04-07:10:48	  32	  68	   -	   -	Input Switch	
000-0029-003E	392E-06DB969C-2022/10/04-07:10:48	0000-00000000-0000/00/00-00:00:00	392E-06DB969C-2022/10/04-07:10:48	 102	  34	   -	   -	One bit Display	
000-002B-003B	392E-0DCF2F8A-2022/10/04-07:10:48	0000-00000000-0000/00/00-00:00:00	392E-0DCF2F8A-2022/10/04-07:10:48	   6	  46	   -	   -	Input Switch	
000-002C-0112	392E-1F03CBAD-2022/10/04-07:11:51	0000-00000000-0000/00/00-00:00:00	392E-1F03CBAD-2022/10/04-07:11:51	  52	  22	   -	   -	AND (2 Inputs)	
000-002D-0112	392E-1B225839-2022/10/04-07:12:01	0000-00000000-0000/00/00-00:00:00	392E-1B225839-2022/10/04-07:12:01	  52	  44	   -	   -	AND (2 Inputs)	
000-002E-0101	392E-15D13788-2022/10/04-07:12:14	0000-00000000-0000/00/00-00:00:00	392E-15D13788-2022/10/04-07:12:14	  32	  34	   -	   -	NOT	
000-0032-0038	392E-18AEC70D-2022/10/04-07:12:45	0000-00000000-0000/00/00-00:00:00	392E-18AEC70D-2022/10/04-07:12:45	  28	  20	  28	  24	Wire	
000-0036-0038	392E-1294AF5C-2022/10/04-07:13:40	392E-11852FB2-2022/10/04-07:12:49	392E-11852FB2-2022/10/04-07:12:49	  28	  36	  28	  38	Wire	
000-0037-0038	392E-0030BBCB-2022/10/04-07:13:40	392E-11852FB2-2022/10/04-07:12:49	392E-11852FB2-2022/10/04-07:12:49	  28	  38	  28	  54	Wire	
